Keyword,Severity,Confidence,OWASP,CVSS,Remediation,File,Line,Content
suspicious_filename,MEDIUM,MEDIUM,A05: Security Misconfiguration,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/invoice.pdf.EXE,0,Suspicious filename: invoice.pdf.EXE
double_extension,HIGH,HIGH,A05: Security Misconfiguration,8.0,Block execution and inspect file.,/Users/davidionclarksr./python-projects/secure-scan/data/invoice.pdf.EXE,0,Dangerous file detected: invoice.pdf.EXE
suspicious_filename,MEDIUM,MEDIUM,A05: Security Misconfiguration,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,0,Suspicious filename: urgent_payroll_password.txt
weak_password,HIGH,MEDIUM,A07: Identification and Authentication Failures,6.5,Enforce strong password policies.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,2,Password found: password123
default_credentials,HIGH,MEDIUM,A05: Security Misconfiguration,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,3,Default credentials detected: admin:admin
sql_injection_payload,HIGH,MEDIUM,A03: Injection,9.8,Use parameterized queries.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,4,SQL injection attempt: ' OR '1'='1
api_key_assignment,HIGH,MEDIUM,A02: Cryptographic Failures,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,7,Sensitive data exposed: api_key=12345
token,HIGH,MEDIUM,A02: Cryptographic Failures,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,8,JWT token leaked: eyJhbGciOi
admin,MEDIUM,MEDIUM,A01: Broken Access Control,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,1,User logged in as admin
xss,MEDIUM,MEDIUM,A03: Injection,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,5,XSS payload detected: <script>alert(1)</script>
admin,MEDIUM,MEDIUM,A01: Broken Access Control,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,6,Broken access control: user accessed /admin without permission
suspicious_filename,MEDIUM,MEDIUM,A05: Security Misconfiguration,5.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,0,Suspicious filename: urgent_payroll_password.txt
ip_address,LOW,LOW,A05: Security Misconfiguration,2.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt,9,SSRF request to http://169.254.169.254/latest/meta-data
sql_injection_payload,HIGH,MEDIUM,A03: Injection,9.8,Use parameterized queries.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,3,ERROR SQL injection attempt detected: ' OR 1=1 --
github_token,HIGH,MEDIUM,A02: Cryptographic Failures,9.0,Remove token and rotate credentials.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,5,WARN admin token exposed: ghp_exampletoken
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,10,admin password is secret
password_assignment,HIGH,MEDIUM,A07: Identification and Authentication Failures,8.5,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,11,password=12345
weak_password,HIGH,MEDIUM,A07: Identification and Authentication Failures,6.5,Enforce strong password policies.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,12,INFO AWS key found: AKIA1234567890ABCDE
weak_password,HIGH,MEDIUM,A07: Identification and Authentication Failures,6.5,Enforce strong password policies.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,13,AWS key leaked: AKIA1234567890ABCDEF
github_token,HIGH,MEDIUM,A02: Cryptographic Failures,9.0,Remove token and rotate credentials.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,17,GitHub token leaked: ghp_abcdefghijklmnoprstuvwxyz123
sql_injection_payload,HIGH,MEDIUM,A03: Injection,9.8,Use parameterized queries.,/Users/davidionclarksr./python-projects/secure-scan/data/sample_log.txt,18,WARN Login attempt username=admin' OR 1=1 --
